id,vote,program,subvote,item,fy12,fy13,fy14
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Oflice And General Supplies And Services,44093777,342970000,153161800
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Fuel Oils luhricants,80429476,177400000,200950000
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Training Foreign,14000000,53500000,70000000
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Communications &amp; Information,57865655,54020000,64904000
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Other Operating Expenses,109242074,67770000,50000000
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Routine Maintenance And Repair ()l&quot;oi&apos;lice Equipment L,29000,2000000,7500000
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Acquisition Ofspeeialized Equipment,0,25000000,6000000
27,Registrar Ol&apos; Political Parties,Al)minis&apos;l&apos;ra&apos;l&quot;ion,Al)mlnis&apos;l&apos;ra&apos;l&apos;ion Ani) Iir Management,Feasibility Studies. Project Preparation] And Design,0,27298000,9248200
